id,name,price,rating_average,category,solds,cluster
121,Điện Thoại Xiaomi POCO C65 8GB/256GB - Hàng Chính Hãng,3389000,1,Điện thoại Smartphone,1,144
122,Điện thoại Oppo A17k (3GB/64GB) - Hàng chính hãng,2579000,1,Điện thoại Smartphone,1,114
123,Điện thoại Xiaomi Redmi Note 13 pro (8GB - 128GB) hàng chính hãng - Bảo hành 18 tháng,6490000,1,Điện thoại Smartphone,1,45
124,Điện thoại Samsung Galaxy A55 5G - Hàng chính hãng,9900000,1,Điện thoại Smartphone,1,56
125,Máy tính bảng Samsung Galaxy Tab S9+ Wifi 12GB_512GB - Hàng chính hãng,27990000,1,Máy tính bảng,1,112
126,"Điện thoại Xiaomi Redmi 13C (6+128GB) | 6.74"" 90Hz| Media Tek Helio G85| 5000mAh - Hàng chính hãng",2999000,1,Điện Thoại - Máy Tính Bảng,1,148
127,Máy tính bảng Samsung Galaxy Tab A9+ 5G 8GB/128GB - Hàng chính hãng,8490000,1,Máy tính bảng,1,17
128,Điện Thoại Xiaomi Redmi A2 2GB/32GB - Hàng Chính Hãng,1739000,1,Điện thoại Smartphone,1,143
129,Điện thoại Samsung Galaxy S24 Plus 12GB-256GB - Hàng chính hãng,18890000,1,Điện thoại Smartphone,1,99
130,Điện thoại Samsung Galaxy S24 Ultra 5G 256GB - Hàng Chính Hãng,26180000,1,Điện thoại Smartphone,1,1
131,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,7164000,1,Điện thoại Smartphone,1,83
132,Điện Thoại Oppo A17k 3GB/64GB - Hàng Chính Hãng,2509000,1,Điện thoại Smartphone,1,80
133,"Điện thoại để bàn tân cổ điển phím bấm DT08, Điện thoại nghe gọi được",3500000,1,Điện Thoại - Máy Tính Bảng,1,94
134,Điện thoại Samsung Galaxy S24 8GB/512GB - Độc quyền Online - Hàng chính hãng,25490000,1,Điện thoại Smartphone,1,1
135,Điện thoại Xiaomi 14 5G (12GB/256GB) - Hàng chính hãng,19239000,1,Điện thoại Smartphone,1,99
136,"Điện Thoại Cho Người Già Masstel Fami 65 - SOS, Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói, Xem Lịch Âm - HÀNG CHÍNH HÃNG",689000,1,Điện thoại phổ thông,1,29
137,Điện thoại Xiaomi Redmi A2+ (3GB/64GB) - Hàng chính hãng,2790000,1,Điện thoại Smartphone,1,101
138,Điện thoại Tecno CAMON 20 Pro 8GB/256GB - Hàng Chính Hãng,4250000,1,Điện thoại Smartphone,1,125
139,Điện thoại Oppo A58 (6GB/128GB) - Hàng chính hãng,4409000,1,Điện thoại Smartphone,1,138
140,Điện thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,5749000,1,Điện thoại Smartphone,1,133
141,Apple iPhone 14,16490000,1,Điện thoại Smartphone,1,60
142,Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,8229000,1,Điện thoại Smartphone,1,81
143,Máy tính bảng Samsung Galaxy Tab S9 Wifi 8GB_128GB - Hàng chính hãng,19990300,1,Máy tính bảng,1,112
144,Điện Thoại Xiaomi Redmi Note 12 Pro 5G 8GB/256GB - Hàng Chính Hãng,9000000,1,Điện thoại Smartphone,1,81
145,Điện thoại Xiaomi Redmi A3 - Hàng chính hãng,2549000,1,Điện thoại Smartphone,1,114
146,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,6900000,1,Máy đọc sách,1,84
147,Điện thoại Xiaomi Redmi Note 13 (6GB/128GB) - Hàng chính hãng,4090000,1,Root,1,102
148,Điện Thoại Xiaomi Redmi Note 13 8GB/128GB - Hàng Chính Hãng,4739000,1,Điện thoại Smartphone,1,118
149,Điện Thoại Xiaomi Redmi A2+ 3GB/64GB - Hàng Chính Hãng,1949000,1,Điện Thoại - Máy Tính Bảng,1,148
150,Điện Thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,6132000,1,Điện thoại Smartphone,1,121
151,Điện Thoại Samsung Galaxy M14 5G (4GB/128GB) - Hàng Chính Hãng,3937000,1,Điện thoại Smartphone,1,3
152,Điện Thoại Samsung Galaxy A05 (6GB/128GB) - Hàng Chính Hãng,3450000,1,Điện thoại Smartphone,1,144
153,Điện thoại Xiaomi Redmi 13C (4GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,2890000,1,Điện thoại Smartphone,1,101
154,Điện Thoại Xiaomi Redmi Note 12S 8GB/256GB - Hàng Chính Hãng,4719000,1,Điện thoại Smartphone,1,118
155,"Điện thoại ZTE Libero 5G IV - 4GB/128GB Dimensity 700 , Kháng nước IP67 , Sạc nhanh 22,5W - Mới nguyên seal - Hàng nhập khẩu",2350000,1,Điện thoại Smartphone,1,55
156,Điện thoại Vivo Y36 (8GB/128GB) - Hàng Chính Hãng - Camera 50MP - Sạc Nhanh 44W,5190000,1,Điện thoại Smartphone,1,118
157,"Điện thoại OPPO A2M 5G 6GB/128GB , Dimensity 6020 , Màn 90Hz , Rom tiếng việt - Hàng chính hãng",2890000,1,Điện thoại Smartphone,1,101
158,Điện thoại Samsung Galaxy A05 (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,2490000,1,Điện Thoại - Máy Tính Bảng,1,148
159,Điện thoại Tecno SPARK 10 Pro 8GB/256GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,3329000,1,Điện thoại Smartphone,1,144
160,Điện Thoại Oppo Reno 10 5G (8GB/128GB) - Hàng Chính Hãng,6690000,1,Điện thoại Smartphone,1,83
161,Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Hàng Chính Hãng,3800000,1,Máy tính bảng,1,17
162,"Điện thoại Redmi Note 12R 5G 6/128GB Snapdragon 4 Gen 2, Rom Quốc tế có sẳn Tiếng việt - Hàng nhập khẩu",3090000,1,Điện thoại Smartphone,1,101
163,Điện thoại Tecno SPARK 10 Pro 8GB/128GB  Hàng chính hãng,2750000,1,Điện thoại Smartphone,1,114
164,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,3990000,1,Điện Thoại - Máy Tính Bảng,1,94
165,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng nhập khẩu,3174000,1,Máy đọc sách,1,34
166,Máy tính bảng Samsung Galaxy Tab A8  (2022) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,5856000,1,Máy tính bảng,1,17
167,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,669000,1,Điện thoại phổ thông,1,29
